ID	GROUP	MSGS
1	AO_ENCONTRAR_ALGUEM	1
2	ENTRANDO_EM_BATALHA	2;16;17;19;22;38;41;46;47;48;49;50;61;62;74;81;87;89;90;91;20
3	SE_FERINDO	42;76;98;99;100
4	EM_FLORESTA	5;43;77
5	EM_CIDADE	6;78;44
6	EM_DUNGEON	7;44;79
7	SE_ALGUEM_PEDIR_PRA_PEGAR_O_BOO	12
8	NAO_ENTENDO_ALGO	85;13;14;10;11
9	SE_ALGUEM_MACHUCAR_ALGUEM_DO_GRUPO	15;56
10	INIMIGO_GRANDE 92
11	CONCORDANDO_COM_O_GRUPO	18;55
12	RECLAMANDO_DO_GRUPO	70;95;94
13	MATANDO_UM_INIMIGO	23
14	ACERTANDO_UM_GOLPE	25;22;38;46;49;50;74
15	ERRANDO_O_GOLPE	26
16	INIMIGO_COM_IMUNIDADE	27
17	SOBREPESO	28;97
18	DEPOIS_DE_ALGUEM_SOLTAR_MAGIA	29
19	FAZENDO_UMA_EMBOSCADA	32
20	SE_LIBERANDO_DE_MAGIA	33
21	COM_EXAUSTAO	39;72
22	MEIA_VIDA	
23	DURANTE_A_NOITE	80
24	DURANTE_O_DIA	
25	ARMADURA_COMPLETA	51
26	AO_SER_ENGANADO	52
28	PARA_O_BARDO	57
29	ENTRANDO_NO_GRUPO	58
30	SAINDO_DO_GRUPO	59
31	ELOGIANDO_DISCURSO	63
32	AO_ENCONTRAR_ALGUEM_CONHECIDO	66
33	AFIRMANDO_QUE_ESTA_PRONTO	82;84
34	RECLAMANDO_DE_RECEBER_ORDENS	93
35	PERDENDO_MAGIA_DE_INVISIBILIDADE	96
36	UM_QUARTO_DE_VIDA	
37	ALEATORIO  9;20;21;24;34;40;53;60;65;67;71;73;75;83;86;88  
38	NAO_CONCORDANDO_COM_ALGO	10,11
39	FURTIVO	
40	APOS_MAGIA_FALHAR	
41	FAZENDO_UMA_ARMADILHA	32
42	BAIXANDO_MORAL	
43	MORAL_BAIXA	
44	MORAL_ZERADA	  
47	SOBRE_O_BOO	  
